[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth
281,130,70,color-agents-by-decile,poorest,400,1000,0.194550222092306,0,23.2747,11455
282,130,80,color-agents-by-decile,poorest,400,1000,0.202484183975821,0,23.526975,7547
283,130,90,color-agents-by-decile,poorest,400,1000,0.198005468341133,0,25.4025,9069
284,130,100,color-agents-by-decile,poorest,400,1000,0.204554915321673,0,25.65205,9010
285,130,110,color-agents-by-decile,poorest,400,1000,0.196263734135248,0,26.927725,10931
286,130,120,color-agents-by-decile,poorest,400,1000,0.192973221162248,0,29.310575,11072
287,130,130,color-agents-by-decile,poorest,400,0,0.196263734135248,0,26.927725,10931
288,130,140,color-agents-by-decile,poorest,400,0,0.196263734135248,0,26.927725,10931
289,130,150,color-agents-by-decile,poorest,400,0,0.196263734135248,0,26.927725,10931
290,130,160,color-agents-by-decile,poorest,400,0,0.196263734135248,0,26.927725,10931
291,130,170,color-agents-by-decile,poorest,400,0,0.196263734135248,0,26.927725,10931
292,130,180,color-agents-by-decile,poorest,400,0,0.196263734135248,0,26.927725,10931
293,130,190,color-agents-by-decile,poorest,400,0,0.196263734135248,0,26.927725,10931
294,130,200,color-agents-by-decile,poorest,400,0,0.196263734135248,0,26.927725,10931
295,140,0,color-agents-by-decile,poorest,400,1000,0.226297068206023,54,16.14985,8036
296,140,10,color-agents-by-decile,poorest,400,1000,0.222209802610602,0,16.98735,6333
297,140,20,color-agents-by-decile,poorest,400,1000,0.218334275352531,0,17.91595,8076
298,140,30,color-agents-by-decile,poorest,400,1000,0.213704139185931,0,18.768675,7404
299,140,40,color-agents-by-decile,poorest,400,1000,0.214413843596888,0,20.2712,6572
300,140,50,color-agents-by-decile,poorest,400,1000,0.206467350863491,0,21.3807,8525
301,140,60,color-agents-by-decile,poorest,400,1000,0.20621524058123,0,21.938875,8888
302,140,70,color-agents-by-decile,poorest,400,1000,0.207433380247061,0,23.265825,10518
303,140,80,color-agents-by-decile,poorest,400,1000,0.197743144223955,0,25.249775,8268
304,140,90,color-agents-by-decile,poorest,400,1000,0.197761830041593,0,25.4346,8047
305,140,100,color-agents-by-decile,poorest,400,1000,0.196329136815334,0,27.03505,8447
306,140,110,color-agents-by-decile,poorest,400,1000,0.194095416408819,0,28.5772,9606
307,140,120,color-agents-by-decile,poorest,400,1000,0.189841442711273,0,29.6839,10959
308,140,130,color-agents-by-decile,poorest,400,1000,0.186158192233397,0,31.090175,11440
